operator,type,avg_impact_pct,worst_impact_pct
worst_detour_removal_v2,destroy,-1.7,-4.67
shaw_related_removal,destroy,-1.1,-2.85
largest_saving_removal,destroy,-0.95,-2.9
skill_scarcity_removal,destroy,-0.77,-1.62
worst_detour_removal,destroy,-0.74,-1.59
cluster_removal,destroy,-0.69,-1.98
time_segment_removal,destroy,-0.67,-2.08
temporal_shaw_removal,destroy,-0.66,-1.63
greedy_best_insertion,repair,-0.6,-1.73
route_removal,destroy,-0.48,-1.3
regret2_insertion,repair,-0.44,-1.89
sequence_removal,destroy,-0.43,-1.48
sequential_insertion_profit,repair,-0.4,-1.44
noisy_greedy_insertion,repair,-0.32,-1.2
scarce_skill_first_insertion,repair,-0.31,-1.33
shaw_insertion,repair,-0.31,-1.35
regret3_courier_insertion,repair,-0.23,-0.4
random_position_insertion,repair,-0.22,-1.27
random_removal,destroy,-0.19,-0.67
related_removal,destroy,-0.19,-2.0
lrfi_insertion,repair,-0.18,-0.95
worst_density_removal,destroy,-0.16,-1.16
history_based_removal,destroy,-0.09,-1.29
